ACADEMY FOR ACADEMIC EXCELLENCE,Texas,TX ,4800093,    ,4,4,Dallas County,7-Independent Charter District,11-City: Large,6th Grade,12th Grade,493,56.01,8.8
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CA ,601911,    ,1,1,San Bernardino County,7-Independent Charter District,21-Suburb: Large,Kindergarten,12th Grade,1433,0,†
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,MI ,2600166,    ,2,2,Wayne County,7-Independent Charter District,21-Suburb: Large,Kindergarten,12th Grade,560,31.15,17.98
ACADEMY FOR INTEGRATED ARTS,Missouri,MO ,2900604,    ,1,1,Jackson County,7-Independent Charter District,11-City: Large,Prekindergarten,6th Grade,258,18.1,14.25
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,UT ,4900017,    ,1,1,Salt Lake County,7-Independent Charter District,21-Suburb: Large,9th Grade,12th Grade,483,22.05,21.9
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,NH ,3300040,    ,2,2,Hillsborough County,7-Independent Charter District,13-City: Small,6th Grade,12th Grade,535,34.5,15.51
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,NJ ,3400741,    ,1,1,Middlesex County,7-Independent Charter District,21-Suburb: Large,7th Grade,12th Grade,549,52,10.56
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,OH ,3901472,    ,1,1,Mahoning County,7-Independent Charter District,13-City: Small,9th Grade,12th Grade,200,4,50
ACADEMY ISD,Texas,TX ,4807470,    ,5,6,Bell County,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,Prekindergarten,12th Grade,1723,118.83,14.5
ACADEMY OF ACCELERATED LEARNING INC,Texas,TX ,4800032,    ,1,1,Harris County,7-Independent Charter District,11-City: Large,Prekindergarten,6th Grade,787,44.71,17.6
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,AZ ,400414,    ,1,1,Mohave County,7-Independent Charter District,33-Town: Remote,9th Grade,12th Grade,110,0,†
ACADEMY OF DALLAS,Texas,TX ,4800090,    ,1,1,Dallas County,7-Independent Charter District,11-City: Large,Prekindergarten,8th Grade,480,23.35,20.56
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,DE ,1000017,    ,1,1,Kent County,7-Independent Charter District,13-City: Small,Kindergarten,5th Grade,266,19,14
